201710;001;AA;UGST;UNIV;101L3;024;15346;F  ;Introduction to the University;L  ;M1 ;0021;0000;0021;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;025;15347;F  ;Introduction to the University;L  ;M1 ;0020;0004;0016;09/07/2016;12/20/2016;12:30 pm;01:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;026;15348;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;05:00 pm;06:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;027;15349;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;028;15350;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;029;15351;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;03:30 pm;04:45 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;030;15352;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;031;15353;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;03:30 pm;04:45 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;032;15354;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;033;15355;F  ;Introduction to the University;L  ;M1 ;0020;0002;0018;09/07/2016;12/20/2016;09:30 am;10:45 am; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0006;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;034;15356;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;035;15357;F  ;Introduction to the University;L  ;M1 ;0020;0004;0016;09/07/2016;12/20/2016;02:00 pm;03:15 pm;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0012;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;036;15358;F  ;Introduction to the University;L  ;M1 ;0021;0000;0021;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;037;15359;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;11:00 am;12:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;038;15360;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;09:30 am;10:45 am;M; ;W; ; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
201710;001;AA;UGST;UNIV;101L3;039;15361;F  ;Introduction to the University;L  ;M1 ;0020;0000;0020;09/07/2016;12/20/2016;02:00 pm;03:15 pm; ;T; ;R; ; ; ;      ;          ;NOT ASSIGNED             ;0000;0003                                                                      
